WKT,TALB_ID,TALB_Acronym,TALB2013_V1_00,TALB2013_V1_00_NAME,Shape_Length
"MULTIPOLYGON (((1308341.43529987 4815292.53410006,1286406.86850023 4777300.74989986,1242537.7347002 4777300.74989986,1220603.16790009 4815292.53410006,1242537.7347002 4853284.31850004,1286406.86850023 4853284.31850004,1308341.43529987 4815292.53410006)))",7200,CL,07200,Clutha District,263214.802556
"MULTIPOLYGON (((1176734.03410006 4891276.10270023,1154799.46710014 4853284.31850004,1110930.33349991 4853284.31850004,1088995.7665 4891276.10270023,1110930.33349991 4929267.88710022,1154799.46710014 4929267.88710022,1176734.03410006 4891276.10270023)))",7300,SU,07300,Southland District,263214.802556
"MULTIPOLYGON (((1242537.7347002 5005251.45569992,1220603.16790009 4967259.67129993,1176734.03410006 4967259.67129993,1154799.46710014 5005251.45569992,1176734.03410006 5043243.23990011,1220603.16790009 5043243.23990011,1242537.7347002 5005251.45569992)))",7000,QL,07000,Queenstown-Lakes District,263214.802756
"MULTIPOLYGON (((1571556.23789978 5119226.80849981,1549621.67110014 5081235.02409983,1505752.53730011 5081235.02409983,1483817.97049999 5119226.80849981,1505752.53730011 5157218.5927,1549621.67110014 5157218.5927,1571556.23789978 5119226.80849981)))",6200,SE,06200,Selwyn District,263214.802556
"MULTIPOLYGON (((1637359.93849993 5081235.02409983,1615425.37169981 5043243.23990011,1571556.23789978 5043243.23990011,1549621.67110014 5081235.02409983,1571556.23789978 5119226.80849981,1615425.37169981 5119226.80849981,1637359.93849993 5081235.02409983)))",6000,CH,06000,Christchurch City,263214.802556
"MULTIPOLYGON (((1505752.53730011 5233202.16130018,1483817.97049999 5195210.37709999,1439948.83669996 5195210.37709999,1418014.26970005 5233202.16130018,1439948.83669996 5271193.94570017,1483817.97049999 5271193.94570017,1505752.53730011 5233202.16130018)))",5800,HU,05800,Hurunui District,263214.802756
"MULTIPOLYGON (((1571556.23789978 5271193.94570017,1549621.67110014 5233202.16130018,1505752.53730011 5233202.16130018,1483817.97049999 5271193.94570017,1505752.53730011 5309185.72989988,1549621.67110014 5309185.72989988,1571556.23789978 5271193.94570017)))",5400,KK,05400,Kaikoura District,263214.802556
"MULTIPOLYGON (((1571556.23789978 5347177.51410007,1549621.67110014 5309185.72989988,1505752.53730011 5309185.72989988,1483817.97049999 5347177.51410007,1505752.53730011 5385169.29850006,1549621.67110014 5385169.29850006,1571556.23789978 5347177.51410007)))",5200,NE,05200,Nelson City,263214.802556
"MULTIPOLYGON (((1637359.93849993 5309185.72989988,1615425.37169981 5271193.94570017,1571556.23789978 5271193.94570017,1549621.67110014 5309185.72989988,1571556.23789978 5347177.51410007,1615425.37169981 5347177.51410007,1637359.93849993 5309185.72989988)))",5300,MB,05300,Marlborough District,263214.802209
"MULTIPOLYGON (((1834771.04050016 5347177.51410007,1812836.47370005 5309185.72989988,1768967.33990002 5309185.72989988,1747032.7729001 5347177.51410007,1768967.33990002 5385169.29850006,1812836.47370005 5385169.29850006,1834771.04050016 5347177.51410007)))",4600,LH,04600,Lower Hutt City,263214.802756
"MULTIPOLYGON (((1703163.63929987 5423161.08269978,1681229.07229996 5385169.29850006,1637359.93849993 5385169.29850006,1615425.37169981 5423161.08269978,1637359.93849993 5461152.86689997,1681229.07229996 5461152.86689997,1703163.63929987 5423161.08269978)))",4400,PO,04400,Porirua City,263214.802409
"MULTIPOLYGON (((1768967.33990002 5385169.29850006,1747032.7729001 5347177.51410007,1703163.63929987 5347177.51410007,1681229.07229996 5385169.29850006,1703163.63929987 5423161.08269978,1747032.7729001 5423161.08269978,1768967.33990002 5385169.29850006)))",4700,WE,04700,Wellington City,263214.802556
"MULTIPOLYGON (((1834771.04050016 5423161.08269978,1812836.47370005 5385169.29850006,1768967.33990002 5385169.29850006,1747032.7729001 5423161.08269978,1768967.33990002 5461152.86689997,1812836.47370005 5461152.86689997,1834771.04050016 5423161.08269978)))",4500,UH,04500,Upper Hutt City,263214.802409
"MULTIPOLYGON (((1900574.74109983 5385169.29850006,1878640.17430019 5347177.51410007,1834771.04050016 5347177.51410007,1812836.47370005 5385169.29850006,1834771.04050016 5423161.08269978,1878640.17430019 5423161.08269978,1900574.74109983 5385169.29850006)))",5000,SW,05000,South Wairarapa District,263214.802556
"MULTIPOLYGON (((1768967.33990002 5461152.86689997,1747032.7729001 5423161.08269978,1703163.63929987 5423161.08269978,1681229.07229996 5461152.86689997,1703163.63929987 5499144.65129995,1747032.7729001 5499144.65129995,1768967.33990002 5461152.86689997)))",4300,KC,04300,Kapiti Coast District,263214.802556
"MULTIPOLYGON (((1834771.04050016 5499144.65129995,1812836.47370005 5461152.86689997,1768967.33990002 5461152.86689997,1747032.7729001 5499144.65129995,1768967.33990002 5537136.43550014,1812836.47370005 5537136.43550014,1834771.04050016 5499144.65129995)))",4200,HO,04200,Horowhenua District,263214.802756
"MULTIPOLYGON (((1900574.74109983 5461152.86689997,1878640.17430019 5423161.08269978,1834771.04050016 5423161.08269978,1812836.47370005 5461152.86689997,1834771.04050016 5499144.65129995,1878640.17430019 5499144.65129995,1900574.74109983 5461152.86689997)))",4900,CA,04900,Carterton District,263214.802556
"MULTIPOLYGON (((1834771.04050016 5575128.21990013,1812836.47370005 5537136.43550014,1768967.33990002 5537136.43550014,1747032.7729001 5575128.21990013,1768967.33990002 5613120.00409985,1812836.47370005 5613120.00409985,1834771.04050016 5575128.21990013)))",3900,MA,03900,Manawatu District,263214.802756
"MULTIPOLYGON (((1900574.74109983 5537136.43550014,1878640.17430019 5499144.65129995,1834771.04050016 5499144.65129995,1812836.47370005 5537136.43550014,1834771.04050016 5575128.21990013,1878640.17430019 5575128.21990013,1900574.74109983 5537136.43550014)))",4800,MS,04800,Masterton District,263214.802556
