Financial Year,Month,Local Board,Location Name,_Sum of Checkouts Actual
FY19,Nov,Other,Corporate,88
FY19,Nov,Other,Debt,45
FY19,Nov,Devonport - Takapuna,Devonport,18151
FY19,Nov,Other,Digital Library,0
FY19,Nov,Hibiscus and Bays,East Coast Bays,43700
FY19,Nov,Albert - Eden,Epsom,22438
FY19,Nov,Other,Events Library,22
FY19,Nov,Waitakere Ranges,Glen Eden,16847
FY19,Nov,Maungakiekie-Tamaki,Glen Innes,7482
FY19,Nov,Kaipatiki,Glenfield,26501
FY19,Nov,Great Barrier,Great Barrier,967
FY19,Nov,Waitemata,Grey Lynn,11904
FY19,Nov,Rodney,Helensville,4921
FY19,Nov,Henderson - Massey,Henderson,15763
FY19,Nov,Howick,Highland Park,27824
FY19,Nov,Mobile Libraries,Homecare North,456
FY19,Nov,Mobile Libraries,Homecare South,24
FY19,Nov,Mobile Libraries,Homecare West,198
FY19,Nov,Howick,Howick,24440
FY19,Nov,Rodney,Kumeu,11451
FY19,Nov,Waitemata,Leys Institute,10731
FY19,Nov,Waitemata,Leys Institute Little,0
FY19,Nov,Other,Library Connect,127
FY19,Nov,Rodney,Mahurangi East,6779
FY19,Nov,Mangere-Otahuhu,Mangere Bridge,8357
FY19,Nov,Mangere-Otahuhu,Mangere East,2289
FY19,Nov,Mangere-Otahuhu,Mangere Town Centre,2287
FY19,Nov,Otara-Papatoetoe,Manukau,6583
FY19,Nov,Manurewa,Manurewa,13457
FY19,Nov,Henderson - Massey,Massey,26053
FY19,Nov,Mobile Libraries,Mobile North,1834
FY19,Nov,Mobile Libraries,Mobile South & East,3741
FY19,Nov,Mobile Libraries,Mobile Waka,265
FY19,Nov,Mobile Libraries,Mobile West & Central,2980
FY19,Nov,Albert - Eden,Mt Albert,30053
FY19,Nov,Puketapapa,Mt Roskill,30458
FY19,Nov,Whau,New Lynn,19048
FY19,Nov,Kaipatiki,Northcote,10137
FY19,Nov,Maungakiekie-Tamaki,Onehunga,15996
FY19,Nov,Other,Online Renewals,0
FY19,Nov,Hibiscus and Bays,Orewa,28491
FY19,Nov,Mangere-Otahuhu,Otahuhu,3314
FY19,Nov,Otara-Papatoetoe,Otara,1358
FY19,Nov,Other,Other,2380
FY19,Nov,Howick,Pakuranga,18923
FY19,Nov,Maungakiekie-Tamaki,Panmure,10614
FY19,Nov,Papakura,Papakura,19642
FY19,Nov,Otara-Papatoetoe,Papatoetoe,8620
FY19,Nov,Waitemata,Parnell,10486
FY19,Nov,Albert - Eden,Pt Chevalier,12583
FY19,Nov,Franklin,Pukekohe,23788
FY19,Nov,Henderson - Massey,Ranui,9571
FY19,Nov,Orakei,Remuera,26845
FY19,Nov,Orakei,St Heliers,31553
FY19,Nov,Devonport - Takapuna,Takapuna,30254
FY19,Nov,Henderson - Massey,Te Atatu Peninsula,12325
FY19,Nov,Henderson - Massey,Te Manawa,0
FY19,Nov,Waitakere Ranges,Titirangi,14272
FY19,Nov,Otara-Papatoetoe,Tupu,1373
FY19,Nov,Waiheke,Waiheke,10397
FY19,Nov,Franklin,Waiuku,8441
FY19,Nov,Rodney,Warkworth,11183
FY19,Nov,Rodney,Wellsford,4810
FY19,Nov,Hibiscus and Bays,Whangaparaoa,21300
FY19,Dec,Upper Harbour,Albany Village,20148
FY19,Dec,Other,Art Gallery,13
FY19,Dec,Whau,Avondale,7329
FY19,Dec,Kaipatiki,Birkenhead,19247
FY19,Dec,Whau,Blockhouse Bay,17919
FY19,Dec,Howick,Botany,28306
FY19,Dec,Waitemata,Central City,29637
FY19,Dec,Manurewa,Clendon,2544
FY19,Dec,Other,Content and Access,172
FY19,Dec,Other,Corporate,28
FY19,Dec,Other,Debt,0
FY19,Dec,Devonport - Takapuna,Devonport,18136
FY19,Dec,Other,Digital Library,0
FY19,Dec,Hibiscus and Bays,East Coast Bays,44718
FY19,Dec,Albert - Eden,Epsom,22628
FY19,Dec,Other,Events Library,30
FY19,Dec,Waitakere Ranges,Glen Eden,14870
FY19,Dec,Maungakiekie-Tamaki,Glen Innes,7153
FY19,Dec,Kaipatiki,Glenfield,26689
FY19,Dec,Great Barrier,Great Barrier,801
FY19,Dec,Waitemata,Grey Lynn,10712
FY19,Dec,Rodney,Helensville,4270
FY19,Dec,Henderson - Massey,Henderson,15660
FY19,Dec,Howick,Highland Park,26327
FY19,Dec,Mobile Libraries,Homecare North,249
FY19,Dec,Mobile Libraries,Homecare South,55
FY19,Dec,Mobile Libraries,Homecare West,230
FY19,Dec,Howick,Howick,23520
FY19,Dec,Rodney,Kumeu,10903
FY19,Dec,Waitemata,Leys Institute,9823
FY19,Dec,Waitemata,Leys Institute Little,0
FY19,Dec,Other,Library Connect,210
FY19,Dec,Rodney,Mahurangi East,6686
FY19,Dec,Mangere-Otahuhu,Mangere Bridge,7899
FY19,Dec,Mangere-Otahuhu,Mangere East,1853
FY19,Dec,Mangere-Otahuhu,Mangere Town Centre,2404
FY19,Dec,Otara-Papatoetoe,Manukau,6932
FY19,Dec,Manurewa,Manurewa,13749
FY19,Dec,Henderson - Massey,Massey,22978
FY19,Dec,Mobile Libraries,Mobile North,729
FY19,Dec,Mobile Libraries,Mobile South & East,2132
FY19,Dec,Mobile Libraries,Mobile Waka,71
FY19,Dec,Mobile Libraries,Mobile West & Central,374
FY19,Dec,Albert - Eden,Mt Albert,29304
FY19,Dec,Puketapapa,Mt Roskill,29689
FY19,Dec,Whau,New Lynn,19657
FY19,Dec,Kaipatiki,Northcote,10921
FY19,Dec,Maungakiekie-Tamaki,Onehunga,14557
FY19,Dec,Other,Online Renewals,0
FY19,Dec,Hibiscus and Bays,Orewa,27529
FY19,Dec,Mangere-Otahuhu,Otahuhu,3294
FY19,Dec,Otara-Papatoetoe,Otara,1425
FY19,Dec,Other,Other,1603
FY19,Dec,Howick,Pakuranga,18930
FY19,Dec,Maungakiekie-Tamaki,Panmure,10127
FY19,Dec,Papakura,Papakura,19246
FY19,Dec,Otara-Papatoetoe,Papatoetoe,8629
FY19,Dec,Waitemata,Parnell,8910
FY19,Dec,Albert - Eden,Pt Chevalier,11997
FY19,Dec,Franklin,Pukekohe,21777
FY19,Dec,Henderson - Massey,Ranui,8287
FY19,Dec,Orakei,Remuera,25802
FY19,Dec,Orakei,St Heliers,30308
FY19,Dec,Devonport - Takapuna,Takapuna,30388
FY19,Dec,Henderson - Massey,Te Atatu Peninsula,11940
FY19,Dec,Henderson - Massey,Te Manawa,0
FY19,Dec,Waitakere Ranges,Titirangi,14119
FY19,Dec,Otara-Papatoetoe,Tupu,1018
FY19,Dec,Waiheke,Waiheke,10924
FY19,Dec,Franklin,Waiuku,7688
FY19,Dec,Rodney,Warkworth,11808
FY19,Dec,Rodney,Wellsford,5184
FY19,Dec,Hibiscus and Bays,Whangaparaoa,19243
FY19,Jan,Upper Harbour,Albany Village,21993
FY19,Jan,Other,Art Gallery,15
FY19,Jan,Whau,Avondale,7508
FY19,Jan,Kaipatiki,Birkenhead,21203
FY19,Jan,Whau,Blockhouse Bay,19574
FY19,Jan,Howick,Botany,33155
FY19,Jan,Waitemata,Central City,30974
FY19,Jan,Manurewa,Clendon,3186
FY19,Jan,Other,Content and Access,71
FY19,Jan,Other,Corporate,136
FY19,Jan,Other,Debt,0
FY19,Jan,Devonport - Takapuna,Devonport,19994
FY19,Jan,Other,Digital Library,0
FY19,Jan,Hibiscus and Bays,East Coast Bays,47391
FY19,Jan,Albert - Eden,Epsom,22182
FY19,Jan,Waitakere Ranges,Glen Eden,16304
FY19,Jan,Maungakiekie-Tamaki,Glen Innes,7166
FY19,Jan,Kaipatiki,Glenfield,27625
FY19,Jan,Great Barrier,Great Barrier,1388
FY19,Jan,Waitemata,Grey Lynn,10817
FY19,Jan,Rodney,Helensville,4761
FY19,Jan,Henderson - Massey,Henderson,16940
FY19,Jan,Howick,Highland Park,27082
FY19,Jan,Mobile Libraries,Homecare North,51
FY19,Jan,Mobile Libraries,Homecare West,11
FY19,Jan,Howick,Howick,25812
FY19,Jan,Rodney,Kumeu,12355
FY19,Jan,Waitemata,Leys Institute,9736
FY19,Jan,Waitemata,Leys Institute Little,0
FY19,Jan,Other,Library Connect,176
FY19,Jan,Rodney,Mahurangi East,7355
FY19,Jan,Mangere-Otahuhu,Mangere Bridge,8331
FY19,Jan,Mangere-Otahuhu,Mangere East,2461
FY19,Jan,Mangere-Otahuhu,Mangere Town Centre,2627
FY19,Jan,Otara-Papatoetoe,Manukau,7396
FY19,Jan,Manurewa,Manurewa,14146
FY19,Jan,Henderson - Massey,Massey,25823
FY19,Jan,Mobile Libraries,Mobile North,749
FY19,Jan,Mobile Libraries,Mobile South & East,1313
FY19,Jan,Mobile Libraries,Mobile Tamariki,211
FY19,Jan,Mobile Libraries,Mobile West & Central,427
FY19,Jan,Albert - Eden,Mt Albert,31435
FY19,Jan,Puketapapa,Mt Roskill,30782
FY19,Jan,Whau,New Lynn,21199
FY19,Jan,Kaipatiki,Northcote,11281
FY19,Jan,Maungakiekie-Tamaki,Onehunga,15121
FY19,Jan,Other,Online Renewals,0
FY19,Jan,Hibiscus and Bays,Orewa,29987
FY19,Jan,Mangere-Otahuhu,Otahuhu,3437
FY19,Jan,Otara-Papatoetoe,Otara,1780
FY19,Jan,Other,Other,2358
FY19,Jan,Howick,Pakuranga,19442
FY19,Jan,Maungakiekie-Tamaki,Panmure,11469
FY19,Jan,Papakura,Papakura,21559
FY19,Jan,Otara-Papatoetoe,Papatoetoe,9572
FY19,Jan,Waitemata,Parnell,10242
FY19,Jan,Albert - Eden,Pt Chevalier,12638
FY19,Jan,Franklin,Pukekohe,23987
FY19,Jan,Henderson - Massey,Ranui,8962
FY19,Jan,Orakei,Remuera,26720
FY19,Jan,Orakei,St Heliers,30861
FY19,Jan,Devonport - Takapuna,Takapuna,32786
FY19,Jan,Henderson - Massey,Te Atatu Peninsula,12413
FY19,Jan,Henderson - Massey,Te Manawa,0
FY19,Jan,Waitakere Ranges,Titirangi,15337
FY19,Jan,Otara-Papatoetoe,Tupu,1275
FY19,Jan,Waiheke,Waiheke,12694
FY19,Jan,Franklin,Waiuku,8759
FY19,Jan,Rodney,Warkworth,12869
FY19,Jan,Rodney,Wellsford,5587
FY19,Jan,Hibiscus and Bays,Whangaparaoa,22083
FY19,Feb,Upper Harbour,Albany Village,19417
FY19,Feb,Other,Art Gallery,10
FY19,Feb,Whau,Avondale,6986
FY19,Feb,Kaipatiki,Birkenhead,19238
FY19,Feb,Whau,Blockhouse Bay,16397
FY19,Feb,Howick,Botany,27407
FY19,Feb,Waitemata,Central City,29054
FY19,Feb,Manurewa,Clendon,2933
FY19,Feb,Other,Content and Access,71
FY19,Feb,Other,Corporate,115
FY19,Feb,Other,Debt,2
FY19,Feb,Devonport - Takapuna,Devonport,17119
FY19,Feb,Other,Digital Library,0
FY19,Feb,Hibiscus and Bays,East Coast Bays,42551
FY19,Feb,Albert - Eden,Epsom,20592
FY19,Feb,Other,Events Library,33
FY19,Feb,Waitakere Ranges,Glen Eden,15306
FY19,Feb,Maungakiekie-Tamaki,Glen Innes,6927
FY19,Feb,Kaipatiki,Glenfield,26671
FY19,Feb,Great Barrier,Great Barrier,1069
FY19,Feb,Waitemata,Grey Lynn,10359
FY19,Feb,Rodney,Helensville,4457
FY19,Feb,Henderson - Massey,Henderson,15839
FY19,Feb,Howick,Highland Park,24768
FY19,Feb,Mobile Libraries,Homecare North,261
FY19,Feb,Mobile Libraries,Homecare South,20
FY19,Feb,Mobile Libraries,Homecare West,139
FY19,Feb,Howick,Howick,22930
FY19,Feb,Rodney,Kumeu,12133
FY19,Feb,Waitemata,Leys Institute,9524
FY19,Feb,Waitemata,Leys Institute Little,0
FY19,Feb,Other,Library Connect,150
FY19,Feb,Rodney,Mahurangi East,6220
FY19,Feb,Mangere-Otahuhu,Mangere Bridge,7280
FY19,Feb,Mangere-Otahuhu,Mangere East,2018
FY19,Feb,Mangere-Otahuhu,Mangere Town Centre,2252
FY19,Feb,Otara-Papatoetoe,Manukau,5866
FY19,Feb,Manurewa,Manurewa,12942
FY19,Feb,Henderson - Massey,Massey,14648
FY19,Feb,Mobile Libraries,Mobile North,969
FY19,Feb,Mobile Libraries,Mobile South & East,2981
FY19,Feb,Mobile Libraries,Mobile Tamariki,278
FY19,Feb,Mobile Libraries,Mobile Waka,345
FY19,Feb,Mobile Libraries,Mobile West & Central,1466
FY19,Feb,Albert - Eden,Mt Albert,28618
FY19,Feb,Puketapapa,Mt Roskill,28231
FY19,Feb,Whau,New Lynn,17986
FY19,Feb,Kaipatiki,Northcote,10238
FY19,Feb,Maungakiekie-Tamaki,Onehunga,14920
FY19,Feb,Other,Online Renewals,0
FY19,Feb,Hibiscus and Bays,Orewa,26569
FY19,Feb,Mangere-Otahuhu,Otahuhu,3383
FY19,Feb,Otara-Papatoetoe,Otara,1559
FY19,Feb,Other,Other,2244
FY19,Feb,Howick,Pakuranga,18229
FY19,Feb,Maungakiekie-Tamaki,Panmure,10719
FY19,Feb,Papakura,Papakura,18596
FY19,Feb,Otara-Papatoetoe,Papatoetoe,8135
FY19,Feb,Waitemata,Parnell,9702
FY19,Feb,Albert - Eden,Pt Chevalier,11494
FY19,Feb,Franklin,Pukekohe,22374
FY19,Feb,Henderson - Massey,Ranui,8649
FY19,Feb,Orakei,Remuera,26749
FY19,Feb,Orakei,St Heliers,29535
FY19,Feb,Devonport - Takapuna,Takapuna,29354
FY19,Feb,Henderson - Massey,Te Atatu Peninsula,11617
FY19,Feb,Henderson - Massey,Te Manawa,0
FY19,Feb,Waitakere Ranges,Titirangi,13611
FY19,Feb,Otara-Papatoetoe,Tupu,1055
FY19,Feb,Waiheke,Waiheke,9923
FY19,Feb,Franklin,Waiuku,7716
FY19,Feb,Rodney,Warkworth,11007
FY19,Feb,Rodney,Wellsford,5003
FY19,Feb,Hibiscus and Bays,Whangaparaoa,20395
FY19,Mar,Upper Harbour,Albany Village,21630
FY19,Mar,Other,Art Gallery,30
FY19,Mar,Whau,Avondale,7733
FY19,Mar,Kaipatiki,Birkenhead,21001
FY19,Mar,Whau,Blockhouse Bay,17999
FY19,Mar,Howick,Botany,32916
FY19,Mar,Waitemata,Central City,29970
FY19,Mar,Manurewa,Clendon,3100
FY19,Mar,Other,Content and Access,39
FY19,Mar,Other,Corporate,84
FY19,Mar,Other,Debt,1
FY19,Mar,Devonport - Takapuna,Devonport,17869
FY19,Mar,Other,Digital Library,0
FY19,Mar,Hibiscus and Bays,East Coast Bays,46156
FY19,Mar,Albert - Eden,Epsom,22761
FY19,Mar,Other,Events Library,41
FY19,Mar,Waitakere Ranges,Glen Eden,15940
FY19,Mar,Maungakiekie-Tamaki,Glen Innes,7034
FY19,Mar,Kaipatiki,Glenfield,30090
FY19,Mar,Great Barrier,Great Barrier,857
FY19,Mar,Waitemata,Grey Lynn,11608
FY19,Mar,Rodney,Helensville,5087
FY19,Mar,Henderson - Massey,Henderson,17453
FY19,Mar,Howick,Highland Park,33650
FY19,Mar,Mobile Libraries,Homecare North,344
FY19,Mar,Mobile Libraries,Homecare South,0
FY19,Mar,Mobile Libraries,Homecare West,161
FY19,Mar,Howick,Howick,6791
FY19,Mar,Rodney,Kumeu,13082
FY19,Mar,Waitemata,Leys Institute,10489
FY19,Mar,Waitemata,Leys Institute Little,0
FY19,Mar,Other,Library Connect,252
FY19,Mar,Rodney,Mahurangi East,6332
FY19,Mar,Mangere-Otahuhu,Mangere Bridge,7667
FY19,Mar,Mangere-Otahuhu,Mangere East,2410
FY19,Mar,Mangere-Otahuhu,Mangere Town Centre,2982
FY19,Mar,Otara-Papatoetoe,Manukau,6998
FY19,Mar,Manurewa,Manurewa,14002
FY19,Mar,Henderson - Massey,Massey,4852
FY19,Mar,Mobile Libraries,Mobile North,1324
FY19,Mar,Mobile Libraries,Mobile South & East,3619
FY19,Mar,Mobile Libraries,Mobile Tamariki,289
FY19,Mar,Mobile Libraries,Mobile Waka,640
FY19,Mar,Mobile Libraries,Mobile West & Central,2365
FY19,Mar,Albert - Eden,Mt Albert,30585
FY19,Mar,Puketapapa,Mt Roskill,31531
FY19,Mar,Whau,New Lynn,20132
FY19,Mar,Kaipatiki,Northcote,12288
FY19,Mar,Maungakiekie-Tamaki,Onehunga,16372
FY19,Mar,Other,Online Renewals,0
FY19,Mar,Hibiscus and Bays,Orewa,29089
FY19,Mar,Mangere-Otahuhu,Otahuhu,3869
FY19,Mar,Otara-Papatoetoe,Otara,1634
FY19,Mar,Other,Other,5029
FY19,Mar,Howick,Pakuranga,21619
FY19,Mar,Maungakiekie-Tamaki,Panmure,11998
FY19,Mar,Papakura,Papakura,19586
FY19,Mar,Otara-Papatoetoe,Papatoetoe,9536
FY19,Mar,Waitemata,Parnell,11112
FY19,Mar,Albert - Eden,Pt Chevalier,12217
FY19,Mar,Franklin,Pukekohe,23708
FY19,Mar,Henderson - Massey,Ranui,10678
FY19,Mar,Orakei,Remuera,27894
FY19,Mar,Orakei,St Heliers,31484
FY19,Mar,Devonport - Takapuna,Takapuna,32054
FY19,Mar,Henderson - Massey,Te Atatu Peninsula,12823
FY19,Mar,Henderson - Massey,Te Manawa,5942
FY19,Mar,Waitakere Ranges,Titirangi,14376
FY19,Mar,Otara-Papatoetoe,Tupu,1344
FY19,Mar,Waiheke,Waiheke,10339
FY19,Mar,Franklin,Waiuku,7500
FY19,Mar,Rodney,Warkworth,11831
FY19,Mar,Rodney,Wellsford,5080
FY19,Mar,Hibiscus and Bays,Whangaparaoa,21858
FY19,Apr,Upper Harbour,Albany Village,20757
FY19,Apr,Other,Art Gallery,12
FY19,Apr,Whau,Avondale,7629
FY19,Apr,Kaipatiki,Birkenhead,20422
FY19,Apr,Whau,Blockhouse Bay,17861
FY19,Apr,Howick,Botany,30835
FY19,Apr,Waitemata,Central City,29064
FY19,Apr,Manurewa,Clendon,3314
FY19,Apr,Other,Content and Access,43
FY19,Apr,Other,Corporate,71
FY19,Apr,Other,Debt,1
FY19,Apr,Devonport - Takapuna,Devonport,18705
FY19,Apr,Other,Digital Library,0
FY19,Apr,Hibiscus and Bays,East Coast Bays,44604
FY19,Apr,Albert - Eden,Epsom,21074
FY19,Apr,Other,Events Library,61
FY19,Apr,Waitakere Ranges,Glen Eden,15825
FY19,Apr,Maungakiekie-Tamaki,Glen Innes,7327
FY19,Apr,Kaipatiki,Glenfield,27363
FY19,Apr,Great Barrier,Great Barrier,949
FY19,Apr,Waitemata,Grey Lynn,11224
FY19,Apr,Rodney,Helensville,5463
FY19,Apr,Henderson - Massey,Henderson,15420
FY19,Apr,Howick,Highland Park,28996
FY19,Apr,Mobile Libraries,Homecare North,302
FY19,Apr,Mobile Libraries,Homecare West,208
FY19,Apr,Howick,Howick,19369
FY19,Apr,Rodney,Kumeu,11619
FY19,Apr,Waitemata,Leys Institute,10381
FY19,Apr,Waitemata,Leys Institute Little,0
FY19,Apr,Other,Library Connect,148
FY19,Apr,Rodney,Mahurangi East,6369
FY19,Apr,Mangere-Otahuhu,Mangere Bridge,7515
FY19,Apr,Mangere-Otahuhu,Mangere East,1792
FY19,Apr,Mangere-Otahuhu,Mangere Town Centre,2463
FY19,Apr,Otara-Papatoetoe,Manukau,7452
FY19,Apr,Manurewa,Manurewa,14742
FY19,Apr,Henderson - Massey,Massey,0
FY19,Apr,Mobile Libraries,Mobile North,915
FY19,Apr,Mobile Libraries,Mobile South & East,3257
FY19,Apr,Mobile Libraries,Mobile Tamariki,108
FY19,Apr,Mobile Libraries,Mobile Waka,484
FY19,Apr,Mobile Libraries,Mobile West & Central,1707
FY19,Apr,Albert - Eden,Mt Albert,31012
FY19,Apr,Puketapapa,Mt Roskill,30258
FY19,Apr,Whau,New Lynn,19832
FY19,Apr,Kaipatiki,Northcote,10670
FY19,Apr,Maungakiekie-Tamaki,Onehunga,15915
FY19,Apr,Other,Online Renewals,0
FY19,Apr,Hibiscus and Bays,Orewa,29056
FY19,Apr,Mangere-Otahuhu,Otahuhu,3394
FY19,Apr,Otara-Papatoetoe,Otara,1542
FY19,Apr,Other,Other,8825
FY19,Apr,Howick,Pakuranga,20236
FY19,Apr,Maungakiekie-Tamaki,Panmure,10557
FY19,Apr,Papakura,Papakura,20532
FY19,Apr,Otara-Papatoetoe,Papatoetoe,9280
FY19,Apr,Waitemata,Parnell,10256
FY19,Apr,Albert - Eden,Pt Chevalier,12429
FY19,Apr,Franklin,Pukekohe,25140
FY19,Apr,Henderson - Massey,Ranui,8936
FY19,Apr,Orakei,Remuera,28092
FY19,Apr,Orakei,St Heliers,30384
FY19,Apr,Devonport - Takapuna,Takapuna,31670
FY19,Apr,Henderson - Massey,Te Atatu Peninsula,12859
FY19,Apr,Henderson - Massey,Te Manawa,26456
FY19,Apr,Waitakere Ranges,Titirangi,14717
FY19,Apr,Otara-Papatoetoe,Tupu,921
FY19,Apr,Waiheke,Waiheke,10920
FY19,Apr,Franklin,Waiuku,7899
FY19,Apr,Rodney,Warkworth,12049
FY19,Apr,Rodney,Wellsford,5175
FY19,Apr,Hibiscus and Bays,Whangaparaoa,21703
FY19,May,Upper Harbour,Albany Village,21732
FY19,May,Other,Art Gallery,31
FY19,May,Whau,Avondale,7441
FY19,May,Kaipatiki,Birkenhead,21652
FY19,May,Whau,Blockhouse Bay,18840
FY19,May,Howick,Botany,29832
FY19,May,Waitemata,Central City,31385
FY19,May,Manurewa,Clendon,3474
FY19,May,Other,Content and Access,52
FY19,May,Other,Corporate,85
FY19,May,Other,Debt,0
FY19,May,Devonport - Takapuna,Devonport,18804
FY19,May,Other,Digital Library,0
FY19,May,Hibiscus and Bays,East Coast Bays,45436
FY19,May,Albert - Eden,Epsom,23060
FY19,May,Other,Events Library,30
FY19,May,Waitakere Ranges,Glen Eden,16525
FY19,May,Maungakiekie-Tamaki,Glen Innes,8025
FY19,May,Kaipatiki,Glenfield,28071
FY19,May,Great Barrier,Great Barrier,953
FY19,May,Waitemata,Grey Lynn,12147
FY19,May,Rodney,Helensville,5762
FY19,May,Henderson - Massey,Henderson,17202
FY19,May,Howick,Highland Park,26304
FY19,May,Mobile Libraries,Homecare North,291
FY19,May,Mobile Libraries,Homecare South,1
FY19,May,Mobile Libraries,Homecare West,251
FY19,May,Howick,Howick,24816
FY19,May,Rodney,Kumeu,12875
FY19,May,Waitemata,Leys Institute,11068
FY19,May,Waitemata,Leys Institute Little,0
FY19,May,Other,Library Connect,138
FY19,May,Rodney,Mahurangi East,6799
FY19,May,Mangere-Otahuhu,Mangere Bridge,8450
FY19,May,Mangere-Otahuhu,Mangere East,2209
FY19,May,Mangere-Otahuhu,Mangere Town Centre,466
FY19,May,Otara-Papatoetoe,Manukau,6762
FY19,May,Manurewa,Manurewa,14431
FY19,May,Henderson - Massey,Massey,0
FY19,May,Mobile Libraries,Mobile North,1381
FY19,May,Mobile Libraries,Mobile South & East,4136
FY19,May,Mobile Libraries,Mobile Tamariki,273
FY19,May,Mobile Libraries,Mobile Waka,285
FY19,May,Mobile Libraries,Mobile West & Central,2339
FY19,May,Albert - Eden,Mt Albert,30406
FY19,May,Puketapapa,Mt Roskill,32394
FY19,May,Whau,New Lynn,20369
FY19,May,Kaipatiki,Northcote,11799
FY19,May,Maungakiekie-Tamaki,Onehunga,15027
FY19,May,Other,Online Renewals,0
FY19,May,Hibiscus and Bays,Orewa,29509
FY19,May,Mangere-Otahuhu,Otahuhu,3418
FY19,May,Otara-Papatoetoe,Otara,1784
FY19,May,Other,Other,9198
FY19,May,Howick,Pakuranga,20384
FY19,May,Maungakiekie-Tamaki,Panmure,11462
FY19,May,Papakura,Papakura,21421
FY19,May,Otara-Papatoetoe,Papatoetoe,8848
FY19,May,Waitemata,Parnell,11613
FY19,May,Albert - Eden,Pt Chevalier,14028
FY19,May,Franklin,Pukekohe,25107
FY19,May,Henderson - Massey,Ranui,9418
FY19,May,Orakei,Remuera,28784
FY19,May,Orakei,St Heliers,31640
FY19,May,Devonport - Takapuna,Takapuna,32312
FY19,May,Henderson - Massey,Te Atatu Peninsula,12616
FY19,May,Henderson - Massey,Te Manawa,26193
FY19,May,Waitakere Ranges,Titirangi,15426
FY19,May,Otara-Papatoetoe,Tupu,1045
FY19,May,Waiheke,Waiheke,10183
FY19,May,Franklin,Waiuku,8501
FY19,May,Rodney,Warkworth,12704
FY19,May,Rodney,Wellsford,5523
FY19,May,Hibiscus and Bays,Whangaparaoa,22604
FY19,Jun,Upper Harbour,Albany Village,20196
FY19,Jun,Other,Art Gallery,26
FY19,Jun,Whau,Avondale,5764
FY19,Jun,Kaipatiki,Birkenhead,20978
FY19,Jun,Whau,Blockhouse Bay,18453
FY19,Jun,Howick,Botany,29567
FY19,Jun,Waitemata,Central City,30880
FY19,Jun,Manurewa,Clendon,2689
FY19,Jun,Other,Content and Access,47
FY19,Jun,Other,Corporate,66
FY19,Jun,Other,Debt,18
FY19,Jun,Devonport - Takapuna,Devonport,18308
FY19,Jun,Other,Digital Library,0
FY19,Jun,Hibiscus and Bays,East Coast Bays,44675
FY19,Jun,Albert - Eden,Epsom,24990
FY19,Jun,Other,Events Library,38
FY19,Jun,Waitakere Ranges,Glen Eden,15145
FY19,Jun,Maungakiekie-Tamaki,Glen Innes,7360
FY19,Jun,Kaipatiki,Glenfield,26678
FY19,Jun,Great Barrier,Great Barrier,809
FY19,Jun,Waitemata,Grey Lynn,12872
FY19,Jun,Rodney,Helensville,4855
FY19,Jun,Henderson - Massey,Henderson,15898
FY19,Jun,Howick,Highland Park,25320
FY19,Jun,Mobile Libraries,Homecare North,175
FY19,Jun,Mobile Libraries,Homecare South,0
FY19,Jun,Mobile Libraries,Homecare West,321
FY19,Jun,Howick,Howick,24288
FY19,Jun,Rodney,Kumeu,11729
FY19,Jun,Waitemata,Leys Institute,10453
FY19,Jun,Waitemata,Leys Institute Little,0
FY19,Jun,Other,Library Connect,193
FY19,Jun,Rodney,Mahurangi East,5979
FY19,Jun,Mangere-Otahuhu,Mangere Bridge,8504
FY19,Jun,Mangere-Otahuhu,Mangere East,2352
FY19,Jun,Mangere-Otahuhu,Mangere Town Centre,18
FY19,Jun,Otara-Papatoetoe,Manukau,6768
FY19,Jun,Manurewa,Manurewa,12895
FY19,Jun,Henderson - Massey,Massey,0
FY19,Jun,Mobile Libraries,Mobile North,1069
FY19,Jun,Mobile Libraries,Mobile South & East,4174
FY19,Jun,Mobile Libraries,Mobile Tamariki,346
FY19,Jun,Mobile Libraries,Mobile Waka,338
FY19,Jun,Mobile Libraries,Mobile West & Central,2697
FY19,Jun,Albert - Eden,Mt Albert,1995
FY19,Jun,Puketapapa,Mt Roskill,40554
FY19,Jun,Whau,New Lynn,20055
FY19,Jun,Kaipatiki,Northcote,11966
FY19,Jun,Maungakiekie-Tamaki,Onehunga,4229
FY19,Jun,Other,Online Renewals,0
FY19,Jun,Hibiscus and Bays,Orewa,28674
FY19,Jun,Mangere-Otahuhu,Otahuhu,3322
FY19,Jun,Otara-Papatoetoe,Otara,1521
FY19,Jun,Other,Other,11588
FY19,Jun,Howick,Pakuranga,20148
FY19,Jun,Maungakiekie-Tamaki,Panmure,11421
FY19,Jun,Papakura,Papakura,19623
FY19,Jun,Otara-Papatoetoe,Papatoetoe,8726
FY19,Jun,Waitemata,Parnell,10163
FY19,Jun,Albert - Eden,Pt Chevalier,17199
FY19,Jun,Franklin,Pukekohe,22570
FY19,Jun,Henderson - Massey,Ranui,8750
FY19,Jun,Orakei,Remuera,27650
FY19,Jun,Orakei,St Heliers,29769
FY19,Jun,Devonport - Takapuna,Takapuna,31328
FY19,Jun,Henderson - Massey,Te Atatu Peninsula,11610
FY19,Jun,Henderson - Massey,Te Manawa,25760
FY19,Jun,Waitakere Ranges,Titirangi,13929
FY19,Jun,Otara-Papatoetoe,Tupu,964
