Financial Year,Month,Local Board,Location Name,_Sum of Checkouts Actual
FY18,Sep,Rodney,Kumeu,12194
FY18,Sep,Waitemata,Leys Institute,11908
FY18,Sep,Waitemata,Leys Institute Little,0
FY18,Sep,Other,Library Connect,137
FY18,Sep,Rodney,Mahurangi East,6509
FY18,Sep,Mangere-Otahuhu,Mangere Bridge,8749
FY18,Sep,Mangere-Otahuhu,Mangere East,2984
FY18,Sep,Mangere-Otahuhu,Mangere Town Centre,3017
FY18,Sep,Otara-Papatoetoe,Manukau,8366
FY18,Sep,Manurewa,Manurewa,15610
FY18,Sep,Henderson - Massey,Massey,27786
FY18,Sep,Mobile Libraries,Mobile Central,948
FY18,Sep,Mobile Libraries,Mobile North,1619
FY18,Sep,Mobile Libraries,Mobile South & East,4344
FY18,Sep,Mobile Libraries,Mobile West & Central,2004
FY18,Sep,Albert - Eden,Mt Albert,33772
FY18,Sep,Puketapapa,Mt Roskill,33621
FY18,Sep,Whau,New Lynn,23910
FY18,Sep,Kaipatiki,Northcote,11346
FY18,Sep,Maungakiekie-Tamaki,Onehunga,17559
FY18,Sep,Other,Online Renewals,0
FY18,Sep,Hibiscus and Bays,Orewa,28761
FY18,Sep,Mangere-Otahuhu,Otahuhu,4534
FY18,Sep,Otara-Papatoetoe,Otara,1963
FY18,Sep,Other,Other,0
FY18,Sep,Howick,Pakuranga,22059
FY18,Sep,Maungakiekie-Tamaki,Panmure,12596
FY18,Sep,Papakura,Papakura,23051
FY18,Sep,Otara-Papatoetoe,Papatoetoe,10389
FY18,Sep,Waitemata,Parnell,11892
FY18,Sep,Albert - Eden,Pt Chevalier,14858
FY18,Sep,Franklin,Pukekohe,24689
FY18,Sep,Henderson - Massey,Ranui,9847
FY18,Sep,Orakei,Remuera,29420
FY18,Sep,Orakei,St Heliers,34174
FY18,Sep,Devonport - Takapuna,Takapuna,35249
FY18,Sep,Henderson - Massey,Te Atatu Peninsula,14594
FY18,Sep,Henderson - Massey,Te Manawa,0
FY18,Sep,Waitakere Ranges,Titirangi,0
FY18,Sep,Otara-Papatoetoe,Tupu,1354
FY18,Sep,Waiheke,Waiheke,11287
FY18,Sep,Franklin,Waiuku,9047
FY18,Sep,Rodney,Warkworth,12691
FY18,Sep,Rodney,Wellsford,5750
FY18,Sep,Hibiscus and Bays,Whangaparaoa,21145
FY18,Oct,Upper Harbour,Albany Village,20929
FY18,Oct,Other,Art Gallery,21
FY18,Oct,Whau,Avondale,8689
FY18,Oct,Kaipatiki,Birkenhead,22512
FY18,Oct,Whau,Blockhouse Bay,21522
FY18,Oct,Howick,Botany,30249
FY18,Oct,Waitemata,Central City,36304
FY18,Oct,Manurewa,Clendon,4249
